+--------+--------+-----------+------------+
| l_name | f_name | work_time | r_date     |
+--------+--------+-----------+------------+
| 大門   | 一郎   |         8 | 2012-12-01 |
| 大門   | 一郎   |        10 | 2012-12-02 |
| 大門   | 一郎   |         8 | 2012-12-05 |
| 大門   | 一郎   |         9 | 2012-12-06 |
| 大門   | 一郎   |         8 | 2012-12-07 |
| 大門   | 一郎   |         8 | 2012-12-08 |
| 大門   | 一郎   |         9 | 2012-12-09 |
| 大門   | 一郎   |         8 | 2012-12-12 |
| 大門   | 一郎   |        10 | 2012-12-13 |
| 大門   | 一郎   |         9 | 2012-12-14 |
| 大門   | 一郎   |         8 | 2012-12-15 |
| 大門   | 一郎   |         8 | 2012-12-16 |
| 大門   | 一郎   |         8 | 2012-12-19 |
| 大門   | 一郎   |         8 | 2012-12-20 |
| 大門   | 一郎   |         9 | 2012-12-21 |
| 大門   | 一郎   |         8 | 2012-12-22 |
| 大門   | 一郎   |        10 | 2012-12-23 |
| 大門   | 一郎   |         8 | 2012-12-26 |
| 大門   | 一郎   |         8 | 2012-12-27 |
| 大門   | 一郎   |         8 | 2012-12-28 |
| 藤井   | 雄太   |         8 | 2012-12-01 |
| 藤井   | 雄太   |        10 | 2012-12-02 |
| 藤井   | 雄太   |         8 | 2012-12-05 |
| 藤井   | 雄太   |         9 | 2012-12-06 |
| 藤井   | 雄太   |         8 | 2012-12-07 |
| 藤井   | 雄太   |         8 | 2012-12-08 |
| 藤井   | 雄太   |         9 | 2012-12-09 |
| 藤井   | 雄太   |         8 | 2012-12-12 |
| 藤井   | 雄太   |        10 | 2012-12-13 |
| 藤井   | 雄太   |         9 | 2012-12-14 |
| 藤井   | 雄太   |         8 | 2012-12-15 |
| 藤井   | 雄太   |         8 | 2012-12-16 |
| 藤井   | 雄太   |         8 | 2012-12-19 |
| 藤井   | 雄太   |         8 | 2012-12-20 |
| 藤井   | 雄太   |         9 | 2012-12-21 |
| 藤井   | 雄太   |         8 | 2012-12-22 |
| 藤井   | 雄太   |        10 | 2012-12-23 |
| 藤井   | 雄太   |         8 | 2012-12-26 |
| 藤井   | 雄太   |         8 | 2012-12-27 |
